"114年07月04日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","308,233,183,191","3,311,743,478","1,925,971",
"2.台灣存託憑證","131,659,891","21,583,593","4,075",
"3.受益憑證","0","0","0",
"4.ETF","21,144,645,439","933,322,815","312,796",
"5.受益證券","9,167,729","617,753","113",
"6.變更交易股票","8,808,567","936,504","791",
"7.認購(售)權證","1,362,389,780","1,362,457,000","53,099",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","1,512,080","186,000","50",
"14.創新板股票","242,447,880","1,824,481","2,716",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","308,484,439,638","3,314,504,463","1,929,478",
"總計(1~15)","331,133,814,557","5,632,671,624","2,299,611",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,962(4)","129(2)",
"下跌(跌停)","7,349(39)","856(1)",
"持平","557","48",
"未成交","18,722","0",
"無比價","2,259","11",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

